GAME_ID,EVENTNUM,EVENTMSGTYPE,EVENTMSGACTIONTYPE,PERIOD,WCTIMESTRING,PCTIMESTRING,HOMEDESCRIPTION,NEUTRALDESCRIPTION,VISITORDESCRIPTION,SCORE,SCOREMARGIN,PERSON1TYPE,PLAYER1_ID,PLAYER1_NAME,PLAYER1_TEAM_ID,PLAYER1_TEAM_CITY,PLAYER1_TEAM_NICKNAME,PLAYER1_TEAM_ABBREVIATION,PERSON2TYPE,PLAYER2_ID,PLAYER2_NAME,PLAYER2_TEAM_ID,PLAYER2_TEAM_CITY,PLAYER2_TEAM_NICKNAME,PLAYER2_TEAM_ABBREVIATION,PERSON3TYPE,PLAYER3_ID,PLAYER3_NAME,PLAYER3_TEAM_ID,PLAYER3_TEAM_CITY,PLAYER3_TEAM_NICKNAME,PLAYER3_TEAM_ABBREVIATION
0021500279,0,12,0,1,9:11 PM,12:00,,,,,,0.0,0,,,,,,0,0,,,,,,0,0,,,,,
0021500279,1,10,0,1,9:11 PM,12:00,Jump Ball Favors vs. Vucevic: Tip to Frye,,,,,4.0,202324,Derrick Favors,1610612762.0,Utah,Jazz,UTA,5,202696,Nikola Vucevic,1610612753.0,Orlando,Magic,ORL,5,101112,Channing Frye,1610612753.0,Orlando,Magic,ORL
0021500279,2,1,1,1,9:11 PM,11:46,,,Harris 21' Jump Shot (2 PTS) (Vucevic 1 AST),2 - 0,-2,5.0,202699,Tobias Harris,1610612753.0,Orlando,Magic,ORL,5,202696,Nikola Vucevic,1610612753.0,Orlando,Magic,ORL,0,0,,,,,
0021500279,3,1,5,1,9:12 PM,11:22,Booker 2' Layup (2 PTS) (Neto 1 AST),,,2 - 2,TIE,4.0,202344,Trevor Booker,1610612762.0,Utah,Jazz,UTA,4,203526,Raul Neto,1610612762.0,Utah,Jazz,UTA,0,0,,,,,
0021500279,4,1,71,1,9:12 PM,11:09,,,Payton 2' Finger Roll Layup (2 PTS),4 - 2,-2,5.0,203901,Elfrid Payton,1610612753.0,Orlando,Magic,ORL,0,0,,,,,,0,0,,,,,
0021500279,5,1,1,1,9:12 PM,10:52,Hayward 24' 3PT Jump Shot (3 PTS) (Favors 1 AST),,,4 - 5,1,4.0,202330,Gordon Hayward,1610612762.0,Utah,Jazz,UTA,4,202324,Derrick Favors,1610612762.0,Utah,Jazz,UTA,0,0,,,,,
0021500279,6,2,44,1,9:13 PM,10:31,,,MISS Harris 2' Reverse Layup,,,5.0,202699,Tobias Harris,1610612753.0,Orlando,Magic,ORL,0,0,,,,,,0,0,,,,,
0021500279,7,4,0,1,9:13 PM,10:31,,,Vucevic REBOUND (Off:1 Def:0),,,5.0,202696,Nikola Vucevic,1610612753.0,Orlando,Magic,ORL,0,0,,,,,,0,0,,,,,
0021500279,8,1,5,1,9:13 PM,10:28,,,Vucevic 2' Layup (2 PTS),6 - 5,-1,5.0,202696,Nikola Vucevic,1610612753.0,Orlando,Magic,ORL,0,0,,,,,,0,0,,,,,
0021500279,9,2,78,1,9:13 PM,10:09,MISS Hood 6' Floating Jump Shot,,,,,4.0,203918,Rodney Hood,1610612762.0,Utah,Jazz,UTA,0,0,,,,,,0,0,,,,,
